,Brand,Type,Coe_left(yrs),Dep($),Mileage(mile),Road Tax($),Dereg Value($),COE($),Engine Cap(cc),Curb Weight(kg),Manufactured(yrs),Transmission,OMV($),ARF($),Power,No. of Owners,Price($)
787,Bentley,Luxury Sedan,6,60960,8500,3940,279445,50110,3993,2417,4,1,199843,331718,373,1,538800
788,Toyota,Mid-Sized Sedan,5,10910,60300,742,41957,53694,1598,1215,5,1,19990,19990,90,1,64800
789,Nissan,SUV,6,11480,40000,1210,57332,57414,1997,1626,4,1,24886,26841,106,1,87800
790,Audi,Luxury Sedan,5,11460,58912,392,40612,49430,999,1280,5,1,24592,16429,85,1,73800
791,Mitsubishi,Mid-Sized Sedan,5,7060,67000,506,34679,52000,1193,940,5,1,14052,5000,57,2,44500
792,BMW,SUV,5,19420,71000,1210,66597,52807,1997,1735,5,1,40866,49213,135,1,133800
793,Porsche,SUV,4,29520,110373,2382,96448,57501,2997,1940,6,1,72190,101942,250,3,185800
794,Mazda,Mid-Sized Sedan,8,6590,128000,890,24025,29328,1598,1275,12,1,20044,20044,77,5,54000
795,Toyota,Mid-Sized Sedan,4,7210,141122,684,21912,22069,1497,1095,11,1,11891,11891,80,2,35800
796,BMW,MPV,6,12680,51000,684,54588,38830,1499,1480,3,1,32596,37635,75,1,104888
797,Honda,Hatchback,5,9040,75000,578,32115,50951,1317,1020,5,1,14535,5000,73,1,52800
798,Hyundai,Stationwagon,8,10450,23000,600,47722,40009,1353,1457,2,1,18424,18424,103,1,97800
799,Honda,Hatchback,1,8210,159000,826,6940,19637,1339,1010,13,1,12436,13680,73,4,14500
800,BMW,Sports Car,1,76690,109000,3948,52093,90200,3999,1675,10,1,70137,70137,309,2,150000
801,Toyota,MPV,5,9710,60000,682,36257,50991,1496,1320,5,1,20924,11294,80,1,58555
802,Mercedes-Benz,Luxury Sedan,5,16740,70651,740,53042,49156,1595,1425,5,1,35663,36929,115,1,104800
803,BMW,Luxury Sedan,1,16960,110000,1210,37146,92667,1997,1610,8,1,43457,38457,135,1,48500
804,Toyota,SUV,4,13860,86000,1196,45232,38610,1986,1610,6,1,32170,37038,111,1,87800
805,Toyota,MPV,6,10580,30722,976,42422,39903,1798,1355,4,1,19955,19955,105,1,82800
806,Subaru,SUV,9,12270,12613,1208,42606,37989,1995,1591,2,1,18515,18515,115,1,120988
807,Mercedes-Benz,Hatchback,8,14400,30000,586,63922,37900,1332,1375,3,1,35837,42172,120,1,143800
808,Mitsubishi,Mid-Sized Sedan,5,9100,68000,738,37444,53694,1590,1284,5,1,13855,13855,86,1,52800
809,Mitsubishi,SUV,5,9230,69513,1210,45539,54406,1998,1417,4,1,17452,17452,110,1,63800
810,Mercedes-Benz,Luxury Sedan,4,16830,108000,740,55312,58109,1595,1425,6,1,39409,42173,115,1,95800
811,Honda,Hatchback,8,8500,30000,578,34203,36704,1317,1030,2,1,16011,6011,73,1,71800
812,Honda,Hatchback,6,6770,142000,826,26420,38192,1339,1010,13,1,12035,13239,73,3,46800
813,Mitsubishi,SUV,5,12010,70000,1636,48770,52807,2360,1625,5,1,23447,24826,123,1,81000
814,Toyota,Hatchback,2,8650,132621,736,7514,17099,1297,1040,14,1,13855,13855,68,4,18998
815,Kia,Hatchback,2,8320,207000,959,7402,17099,1591,1303,13,1,10336,8027,89,3,18000
816,Volkswagen,Hatchback,7,12090,26000,624,40258,26301,1395,1270,3,1,24682,26555,92,1,106800
817,Toyota,MPV,5,11540,70000,976,45018,57010,1798,1360,5,1,19955,19955,105,1,70800
818,Mitsubishi,SUV,5,11840,122200,1636,48839,53106,2360,1625,5,1,23447,24826,123,1,79800
819,Volkswagen,Hatchback,5,11910,99000,624,38718,53694,1395,1249,6,1,23854,15396,92,1,67988
820,Mitsubishi,SUV,8,11450,33000,1210,47397,40001,1998,1480,3,1,19374,19374,110,1,103800
821,Honda,Stationwagon,8,9280,19520,682,33884,31783,1496,1130,2,1,20091,10128,97,1,81800
822,Audi,Luxury Sedan,2,14260,115000,1194,43667,77501,1984,1565,8,1,38193,40471,132,1,56800
823,Honda,Hatchback,5,9490,45000,684,40356,51600,1498,1046,5,1,17792,12792,96,1,62999
824,Mercedes-Benz,SUV,6,21970,60000,1202,75325,50110,1991,1735,4,1,48334,59668,155,1,163888
825,Hyundai,SUV,7,11750,45000,738,41246,31301,1591,1594,3,1,22683,23757,130,1,99800
826,BMW,Luxury Sedan,5,21810,90700,1210,82788,54405,1998,1540,4,1,53252,67854,185,1,161800
827,Mercedes-Benz,Luxury Sedan,9,7670,158402,742,41878,42283,1597,1500,10,1,31019,31019,115,3,75998
828,Toyota,Luxury Sedan,4,11690,84500,1210,47347,60001,1998,1480,6,1,27591,30628,123,1,65800
829,Honda,SUV,1,11490,173921,1369,7422,25084,1799,1410,14,1,19650,21615,103,5,16998
830,Toyota,MPV,4,6800,158000,1458,22961,46048,1794,1300,15,1,20824,22907,97,3,33888
831,Mercedes-Benz,Luxury Sedan,9,8790,132000,1071,30735,33568,1796,1650,11,1,56996,56996,150,3,80500
832,Audi,Luxury Sedan,5,14630,41900,976,63061,56340,1798,1645,5,1,40383,43537,140,1,100800
833,Mercedes-Benz,Hatchback,7,14640,17000,586,51090,31101,1332,1375,3,1,32046,36865,120,1,128800
834,MINI,Hatchback,3,15340,77988,742,41315,62002,1598,1295,7,1,26027,28438,88,1,70700
835,BMW,SUV,9,19100,10799,1210,68404,40301,1998,1685,2,1,40234,48328,135,1,203800
836,Honda,MPV,2,9540,112483,887,6935,13786,1496,1310,13,1,20212,20212,87,4,23999
837,Mercedes-Benz,Hatchback,5,12630,53873,740,45257,52301,1595,1425,6,1,26882,24635,90,1,76988
838,Mercedes-Benz,Hatchback,3,13290,60400,740,31843,57199,1595,1395,6,1,22896,14055,90,2,59800
839,Mazda,Mid-Sized Sedan,6,8810,56000,682,35096,36001,1496,1310,4,1,14299,14299,88,2,66800
840,Volkswagen,Luxury Sedan,5,12290,47000,976,55735,54556,1798,1480,5,1,31374,30924,132,1,88988
841,Skoda,SUV,9,12500,3000,684,57771,41101,1498,1393,2,1,23639,25095,110,1,130988
842,Audi,Sports Car,0,23680,133000,1194,30971,78000,1984,1550,10,1,49328,49328,155,3,43800
